Name,Size,Predicted %,Actual value
lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/main/java/service/SimpleOrderService.java,45,0.9999376467137817,YES
lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/main/java/transport/SimpleOrderServiceClient.java,79,0.6666597379477158,YES
lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/main/java/transport/SimpleOrderServiceEndpoint.java,67,3.1161099133646467E-4,NO
lang/java/avro/src/main/java/org/apache/avro/AvroRemoteException.java,45,0.9999875280984939,YES
lang/java/avro/src/main/java/org/apache/avro/AvroRuntimeException.java,28,1.3556385276403536E-5,NO
lang/java/avro/src/main/java/org/apache/avro/AvroTypeException.java,28,1.3556385276403536E-5,NO
lang/java/avro/src/main/java/org/apache/avro/Protocol.java,564,0.9999376467137817,YES
lang/java/avro/src/main/java/org/apache/avro/Schema.java,1492,6.228338189454103E-4,NO
lang/java/avro/src/main/java/org/apache/avro/SchemaNormalization.java,174,0.9999376467137817,NO
lang/java/avro/src/main/java/org/apache/avro/SchemaParseException.java,25,3.897262643988796E-5,NO
lang/java/avro/src/main/java/org/apache/avro/UnresolvedUnionException.java,39,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/data/ErrorBuilder.java,47,1.24691022646399E-4,NO
lang/java/avro/src/main/java/org/apache/avro/data/Json.java,184,2.0778382604032052E-4,NO
lang/java/avro/src/main/java/org/apache/avro/data/RecordBuilder.java,30,4.157058552056044E-5,NO
lang/java/avro/src/main/java/org/apache/avro/data/RecordBuilderBase.java,221,0.9999376467137817,YES
lang/java/avro/src/main/java/org/apache/avro/file/Codec.java,50,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/file/CodecFactory.java,101,6.228338189454103E-4,NO
lang/java/avro/src/main/java/org/apache/avro/file/DataFileConstants.java,41,8.90713626898863E-5,NO
lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader.java,250,6.228338189454103E-4,NO
lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.java,227,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.java,363,8.90713626898863E-5,NO
lang/java/avro/src/main/java/org/apache/avro/file/DataFileWriter.java,408,0.9999688214128035,NO
lang/java/avro/src/main/java/org/apache/avro/file/DeflateCodec.java,145,0.6451554502914917,NO
lang/java/avro/src/main/java/org/apache/avro/file/FileReader.java,49,6.928046916137647E-5,NO
lang/java/avro/src/main/java/org/apache/avro/file/LengthLimitedInputStream.java,85,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/file/NullCodec.java,64,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/file/SeekableByteArrayInput.java,42,1.558540615068423E-4,NO
lang/java/avro/src/main/java/org/apache/avro/file/SeekableFileInput.java,36,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/file/SeekableInput.java,37,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/file/SnappyCodec.java,83,1.0391350456571617E-4,NO
lang/java/avro/src/main/java/org/apache/avro/generic/GenericArray.java,32,6.235328621822342E-5,NO
lang/java/avro/src/main/java/org/apache/avro/generic/GenericContainer.java,26,3.897262643988796E-5,NO
lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java,883,0.9999376467137817,YES
lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumReader.java,421,6.228338189454103E-4,NO
lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumWriter.java,213,0.9999688214128035,YES
lang/java/avro/src/main/java/org/apache/avro/generic/GenericEnumSymbol.java,24,2.398387374343258E-5,NO
lang/java/avro/src/main/java/org/apache/avro/generic/GenericFixed.java,24,2.398387374343258E-5,NO
lang/java/avro/src/main/java/org/apache/avro/generic/GenericRecord.java,27,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/generic/GenericRecordBuilder.java,259,3.1161099133646467E-4,NO
lang/java/avro/src/main/java/org/apache/avro/generic/IndexedRecord.java,30,4.157058552056044E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/BinaryData.java,428,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/BinaryDecoder.java,981,2.0778382604032052E-4,NO
lang/java/avro/src/main/java/org/apache/avro/io/BinaryEncoder.java,126,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/BlockingBinaryEncoder.java,562,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/BufferedBinaryEncoder.java,226,0.9999376467137817,NO
lang/java/avro/src/main/java/org/apache/avro/io/DatumReader.java,37,3.897262643988796E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/DatumWriter.java,35,3.897262643988796E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/Decoder.java,283,2.0778382604032052E-4,NO
lang/java/avro/src/main/java/org/apache/avro/io/DecoderFactory.java,316,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryDecoder.java,204,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryEncoder.java,133,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/Encoder.java,298,6.228338189454103E-4,NO
lang/java/avro/src/main/java/org/apache/avro/io/EncoderFactory.java,336,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/JsonDecoder.java,701,2.0778382604032052E-4,NO
lang/java/avro/src/main/java/org/apache/avro/io/JsonEncoder.java,301,2.0778382604032052E-4,NO
lang/java/avro/src/main/java/org/apache/avro/io/ParsingDecoder.java,76,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/ParsingEncoder.java,69,3.897262643988796E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/ResolvingDecoder.java,266,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/ValidatingDecoder.java,253,2.0778382604032052E-4,NO
lang/java/avro/src/main/java/org/apache/avro/io/ValidatingEncoder.java,217,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,100,2.0778382604032052E-4,NO
lang/java/avro/src/main/java/org/apache/avro/io/parsing/Parser.java,191,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,476,8.90713626898863E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/parsing/SkipParser.java,95,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/io/parsing/Symbol.java,551,2.0778382604032052E-4,NO
lang/java/avro/src/main/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,136,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/reflect/Nullable.java,33,4.7965446692430114E-5,NO
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectData.java,496,0.9999376467137817,YES
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java,156,6.228338189454103E-4,NO
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumWriter.java,113,6.228338189454103E-4,NO
lang/java/avro/src/main/java/org/apache/avro/reflect/Stringable.java,34,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/reflect/Union.java,39,4.453964855213344E-5,NO
lang/java/avro/src/main/java/org/apache/avro/specific/FixedSize.java,36,2.5982426028847725E-5,NO
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java,288,0.9999376467137817,YES
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumReader.java,75,2.0778382604032052E-4,NO
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,57,2.9693980741066513E-5,NO
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificErrorBuilderBase.java,124,1.24691022646399E-4,NO
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificExceptionBase.java,59,1.24691022646399E-4,NO
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificFixed.java,32,1.24691022646399E-4,NO
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecord.java,25,3.4642634638669E-5,NO
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java,53,4.453964855213344E-5,YES
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBuilderBase.java,53,1.24691022646399E-4,NO
lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferInputStream.java,88,0.9999922049886446,YES
lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferOutputStream.java,107,7.793917789084593E-5,NO
lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java,134,0.9999376467137817,YES
lang/java/avro/src/main/java/org/apache/avro/util/WeakIdentityHashMap.java,169,6.235328621822342E-5,NO
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/ProtocolTask.java,94,2.0778382604032052E-4,NO
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SchemaTask.java,35,5.196215185216184E-5,NO
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SpecificCompiler.java,695,6.228338189454103E-4,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/CallFuture.java,162,1.0391350456571617E-4,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/Callback.java,39,1.0391350456571617E-4,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/DatagramServer.java,79,4.7965446692430114E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/DatagramTransceiver.java,85,4.453964855213344E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/HttpServer.java,110,7.793917789084593E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/HttpTransceiver.java,122,6.228338189454103E-4,YES
lang/java/ipc/src/main/java/org/apache/avro/ipc/Ipc.java,53,7.793917789084593E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/LocalTransceiver.java,52,4.157058552056044E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyServer.java,177,6.228338189454103E-4,YES
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,533,6.228338189454103E-4,YES
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransportCodec.java,183,6.235328621822342E-5,YES
lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCContext.java,215,8.90713626898863E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCPlugin.java,76,6.235328621822342E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/Requestor.java,563,0.999979213843147,YES
lang/java/ipc/src/main/java/org/apache/avro/ipc/Responder.java,257,1.24691022646399E-4,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/ResponderServlet.java,55,2.2270816210393705E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/SaslSocketServer.java,102,6.928046916137647E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/SaslSocketTransceiver.java,403,8.90713626898863E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/Server.java,35,6.235328621822342E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketServer.java,145,0.9999922049886446,YES
lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketTransceiver.java,119,7.793917789084593E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/Transceiver.java,108,1.0391350456571617E-4,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericRequestor.java,91,0.9677325263556232,YES
lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericResponder.java,69,0.7142761696501957,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectRequestor.java,80,0.6249902568433902,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectResponder.java,63,7.793917789084593E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificRequestor.java,160,0.9999896067055367,YES
lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificResponder.java,102,0.937482948811403,YES
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/FloatHistogram.java,54,4.453964855213344E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/Histogram.java,267,6.235328621822342E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/IntegerHistogram.java,55,6.235328621822342E-5,NO
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StaticServlet.java,46,6.235328621822342E-5,NO
